,net_assets,ytd_return,fund_yield,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2015,fund_return_2014,fund_return_2013,fund_return_2012,fund_return_2011,fund_return_2010,fund_alpha_3years,category_alpha_3years,fund_alpha_5years,category_alpha_5years,fund_alpha_10years,category_alpha_10years,fund_beta_3years,category_beta_3years,fund_beta_5years,category_beta_5years,fund_beta_10years,category_beta_10years,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,category_treynor_ratio_3years,fund_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
net_assets,1.0,-0.004404769381638296,-0.01001577827615134,-0.0763898268603844,-0.0868884680498064,0.05045366822079691,-0.026775586613858923,0.021325771477228007,-0.0014439682325427872,0.0019226494286175655,0.022113285576360105,0.011555481540726657,0.04855330275867764,-0.006868811270744781,-0.0015650857643262654,0.018884919599262792,0.008877378012238724,-0.014262319901941127,0.04233674759166471,-0.01642434776244585,0.04384147192809544,0.0419605981561071,,0.039591945747342316,-0.012403192016568228,-0.01585363520828962,-0.015926536851671193,-0.011962044856877681,-0.010818816266532928,-0.00842810584254124,-0.0061703650265842284,-0.05966605651092533,-0.03688482660547559,0.02376367479691692,0.005049507953663746,-0.05273687915187008,-0.026805218681307173,-0.01677484006437746,-0.037825513098328656,0.007891616191916412,-0.01915928108423166,0.04372487363486548,-0.03492188185607591,0.05619811219656897,-0.030702226621439465,0.02232605500199324,0.02030506675378584,-0.017812043905515784,0.06641050696087825,0.017463157016654213,0.07602798698271901,0.042942676417291714,-0.035675221542483676,-0.02905623287530313,0.017538269194041868,-0.01080519193549845,0.018106782849188124,-0.0016992533870688088,0.02515026360239282,-0.021931768821701263,0.008119539092477042,-0.01159923710508169,0.009833225326528047,-0.01290081575094436,0.01062049411823596,0.014628225788748799,0.006240984012228565,0.05001935665123086,0.041724810940202015,0.0547810981739524,0.06016969016120851,0.022449766264991233,0.08946581560662654,0.07898068522823613,0.09665584384469937,0.07891233856379767,0.12732894794816876,0.07793928407191908,0.007559187663739972,-0.03570159332446271,0.01500094664007793,-0.035698519906624565,0.058999826887983296,-0.0668844926002995,0.008139145324208159,0.057355106948149194,0.04673640449093326,0.06855092248384764,0.06293170325418708,0.05900349087080063,0.014882419279040885,0.01343548551093201,0.05645099310833253,0.026213943579193846
ytd_return,-0.004404769381638296,1.0,0.03631115372249927,-0.06142421846465322,-0.12409917214127353,0.3638988364728572,-0.2099216064752589,0.38370076166216477,0.3888246882785934,0.3209443766188167,0.353704225342219,0.015342080402561886,0.20263653056900818,0.1347147142041254,0.06782898660156414,0.07180202345679532,0.08614154489672805,0.03695287936768027,0.07696144545368631,0.10984128507165793,0.19310089937939984,0.3116943212321489,,-0.1252830620029976,-0.1094859305475638,-0.1282090758005964,-0.11455585785416757,-0.045386627264056505,-0.039122722642818665,-0.03265212347792022,-0.03256527955139992,0.9529000916834004,0.03868516250918081,0.33761053792021367,-0.11695365209063636,0.9474657301015446,0.112456950186441,0.23177198620220793,0.05128458327612079,0.6066997421932655,0.1191868435453662,0.42512955844919087,0.22381375201995748,0.3864570248830618,0.16659987807005788,-0.5847643846407323,0.6229421262513657,0.4643771582999035,-0.0033326413562408085,0.25595546334177893,0.6880177441990355,0.6247106156757553,0.07942882338875226,0.5634779790574568,0.043305593293159104,0.019406427150908883,0.012872921670116493,0.11535794941973719,-0.020704535632007054,-0.06732538999491347,0.20685887971180442,-0.0844149904201176,0.156965930058781,-0.12403432654492647,0.015002713921164654,0.22999224125417644,0.6357431427546661,0.20767374539260564,0.4461098385589898,0.4391908491986554,0.3967273802656955,0.1401089716559553,0.04481473403156583,0.3362198421978924,0.009478265440595516,0.3279412412179531,0.03751151354084078,0.2704334202387397,-0.05818974348743853,0.3127403182222,-0.10299349463924636,0.2914879991304971,-0.005743256131870804,0.225161095892941,0.42150919663127195,-0.007250896088862584,0.2824352634481889,0.25726008028753494,0.2640320706575047,-0.05257130092850149,0.14137967072537133,0.03794901099506938,0.052778788158139675,0.055323531624314075
fund_yield,-0.01001577827615134,0.03631115372249927,1.0,-0.0006007876493712266,-0.1173780597667025,-0.022385619662550964,0.18725694930237502,-0.061786914042647904,-0.14629275716001702,0.004279094524871824,-0.08817491642029493,0.017053143899580923,-0.0813893583601498,0.11872666525470416,0.17221884054189965,0.004341841274369367,-0.1159223471642452,0.07965406946819417,0.07959511608347629,0.11875784583540981,-0.06217774597955779,-0.17077401888228363,,0.015158161908760362,0.003638081563087508,0.0753515573849317,0.12405967366988234,0.23485040159786755,0.22203921174894456,0.15925191121649662,0.08804700717529405,0.08502675088362652,0.07646173821231102,0.08770419416374124,-0.005082546477819377,0.09314253180516992,0.08127468482089005,0.15777908243384298,0.05716201856664339,0.11838685725262199,-0.027163285854044088,0.06647919925643003,-0.007108895021735944,0.007426199699521802,-0.10834885815787693,-0.03827949730499778,-0.01536510161027349,0.21064526543614628,-0.07477309433659057,0.04404831028039333,-0.05722994880324669,0.2126793300299285,0.08407995674601397,0.046018480203409845,0.03585007260849161,-0.061208297014564914,-0.0013732954022027733,0.03004830883363139,0.0318685345615523,-0.18366025558036855,0.1465709174234989,-0.11305022579685334,0.1258945849065197,-0.10368394819480811,-0.045591203585174205,0.13683356260054932,0.08972062013997896,-0.09107673834317467,0.03217213106596192,-0.08059184576331967,-0.017491225619320473,-0.16450054903613334,0.008152957117772803,-0.10615137574044965,-0.048394009440793626,-0.09629708887684188,-0.08392255595837982,0.12077548950992084,-0.1422243713758346,-0.1590582292437397,-0.1683699429053438,-0.1610446283344801,-0.16385325581960608,0.013046998194117107,0.16168010203570504,0.04483870989346879,0.05527572097228004,0.01116213379666896,-0.011891255578259458,-0.12266847353043522,0.07926017363948565,0.03813190274841025,-0.051617880337393944,-0.20512859639471
net_annual_expense_ratio_fund,-0.0763898268603844,-0.06142421846465322,-0.0006007876493712266,1.0,0.5152969253549582,-0.14852194013975342,-0.15525836309200325,-0.07611481265894206,-0.06709523645875241,-0.02270829786116373,-0.06932724651184151,0.010175240927075323,-0.06699554092378403,0.01722963654863337,-0.026708404503100594,-0.08295504128703537,-0.047500813605831714,-0.00829556628050811,-0.06156192198317195,0.03127982630927945,-0.056082981379048887,-0.028414196957053956,,-0.09355547822557693,-0.1043508800089222,-0.1279547261540646,-0.10150424044620199,0.05519634455124312,0.09117959256318355,0.029584669034794987,0.005896155501384279,0.030696804521105393,-0.024155388064335096,-0.07349707663249098,0.01789331033529012,0.023995609233608498,-0.039105142156195115,-0.22524672439577423,-0.08868656151449178,-0.13479580624239182,-0.15114868163840905,-0.2430816131376922,-0.14318691678272633,-0.1460072944934221,-0.15680290283104284,-0.11313136510628305,-0.009720959319251194,-0.05718055603083579,-0.2083477093413464,-0.21066021710828353,-0.18118640256341498,-0.24716014084463814,-0.28691363620826615,-0.12609238450222313,-0.09087607973986497,-0.054176023382679024,-0.1264035553321602,-0.09092214323270206,-0.07449389109003304,0.022571944824971494,-0.03609289177860372,0.18047995090824415,-0.03555243576657389,0.17738010354560246,-0.04044025600233771,-0.22763131566406827,-0.08433622232188678,-0.1729501090027628,-0.18662685724024025,-0.167358870320226,-0.1739071744062438,-0.14095131812930406,-0.17550453662624121,-0.1182574750605045,-0.14681109122548214,-0.1296966058148177,-0.14611790928754603,-0.14762216598124278,0.2510839182613197,0.1407777049767019,0.2186345598884549,0.1306503123892204,0.009723667453515357,0.1995722936182661,-0.1433165946988325,-0.25578679102095886,-0.24648139952858156,-0.23160826372506563,-0.22392358616092864,-0.2524338800506722,-0.014829957819576522,-0.05078587097847811,-0.1158654333176525,-0.1527540064008624
net_annual_expense_ratio_category,-0.0868884680498064,-0.12409917214127353,-0.1173780597667025,0.5152969253549582,1.0,-0.3002143234166365,-0.3152956266248709,-0.21721894293149113,-0.18934055161603994,-0.1553660448718894,-0.19074598862151704,-0.008532812984618613,-0.14737620281246866,-0.1425797221763164,-0.08427726310835912,-0.13689071518720863,-0.0751038481847087,-0.05029618503322325,-0.12041501545827914,0.007639061625452794,-0.13075955532901695,-0.08384027620404823,,-0.24335795426489543,-0.1687293919568481,-0.22242861279578033,-0.19703828916843608,-0.0065360374635742395,0.023322264995339542,-0.024857660259931753,-0.02663968084402658,-0.12865310035606561,-0.1808196143611668,-0.1099235262469136,0.15272287187961575,-0.12219359192699504,-0.2667809170518276,-0.3202741299256987,-0.3529508990107256,-0.2751000356764499,-0.4662882870315047,-0.34441999149732017,-0.539566383474462,-0.23693321953388335,-0.454578031389225,-0.07978349751586913,-0.11423880849458153,-0.1737501683157836,-0.2434479260076317,-0.2295490369643638,-0.19232329651353516,-0.29917106770001695,-0.37643980304131075,-0.2564042709780431,-0.11425623803681069,-0.032533084409401655,-0.14640416162649403,-0.17994751365623526,-0.10153612546832147,0.13831391754968536,-0.03217442193489768,0.10959211364578358,-0.01768179554974644,0.11338070555074171,-0.04703805890871858,-0.2509599423159891,-0.19361739872754183,-0.44397022544899467,-0.2569155001698098,-0.4326189307829107,-0.2068059241499768,-0.31732923287748044,-0.12693200111374808,-0.2953189332857422,-0.054182405444136154,-0.30038756107722225,-0.05630691570733108,-0.21499878164844952,0.43300632226515234,0.42755113841381615,0.3894939472001817,0.42635913741703335,0.1813490889695163,0.6408448752438269,-0.30449276934382435,-0.6000069543177851,-0.3651977005135243,-0.5483095792503222,-0.2704335988669598,-0.6053436017062838,-0.051034491460543153,-0.07505566666160889,-0.0965003018545639,-0.32424281076015266
portfolio_stocks,0.05045366822079691,0.3638988364728572,-0.022385619662550964,-0.14852194013975342,-0.3002143234166365,1.0,-0.5965993508191781,0.7795139473983674,0.6730509314076193,0.5466537173308276,0.6946018622115679,0.2585963517000411,0.41868790351581747,0.33720342412131354,0.19881408535910974,0.3276832990015193,0.27502139276281307,0.18232116130663512,0.3144468288384586,0.21315664657427208,0.39226336674522283,0.3832373162319505,,-0.2883322581225354,-0.2672307010939901,-0.3432833582448678,-0.3437026575124514,-0.22241373778175935,-0.1950517555305,-0.15537433103277828,-0.1153932827869879,0.29206563530042473,0.13636574753168548,0.058740722605794576,-0.1777369630125778,0.2895299799905502,0.25841821629109185,0.07783719009063693,0.26506624850967436,0.377041280877271,0.29878829060047957,0.32612663201427666,0.4269852598505766,0.3437246943320613,0.3966794739128933,-0.28685327900228286,0.4046033986105778,0.26056081592009056,0.068548505822632,0.20368814416275263,0.4532792827115264,0.4575029284954251,-0.13543663871783682,0.390143556982689,0.012605589968976993,0.08627801581674507,0.02515788683746714,0.07279063373096023,0.05993097672542312,0.18381342056452743,0.08110302314057094,-0.10547284157609324,0.059681012566869016,-0.14522829927298683,-0.01889079374674998,0.19944316855105,0.34799047597874744,0.39009661723820305,0.32207899027762876,0.5693970692283045,0.3667490274334642,0.42641514403554903,0.20207764996550384,0.3599495791245615,0.18662606200591894,0.3882889213628594,0.20007563511064563,0.28630095081595447,0.0024115680555976396,0.3825050084593379,0.01412617146143683,0.39905435868044076,0.08446748767427345,0.2517003425273585,0.31809968615797946,-0.06612616769132816,0.24962218420807905,0.25101730597215205,0.31228031499037723,-0.016235153347820698,0.1832144987308915,0.0582524892808341,0.24896878120781893,0.2610329727639871
portfolio_bonds,-0.026775586613858923,-0.2099216064752589,0.18725694930237502,-0.15525836309200325,-0.3152956266248709,-0.5965993508191781,1.0,-0.49089310892885696,-0.4291868302284085,-0.34777108426038694,-0.44471385950970993,-0.17095339614458704,-0.2666540049837943,-0.2017841903365521,-0.11810221820004345,-0.20850609642452808,-0.1681615302675038,-0.11321014942508913,-0.18090850205111056,-0.1188038480286326,-0.24199633090815675,-0.24432236200769117,,0.45886905644232207,0.45798743148705895,0.5651750103985728,0.5803722818438292,0.3701057844151471,0.3305487475486358,0.25917369977697835,0.12130861320422162,-0.14598784939497408,-0.037386738757922984,0.0892529990328896,0.06295667450230519,-0.1455835200097817,-0.08667052649277295,0.1275211577240675,-0.07781363041892782,-0.10711421135806914,-0.023295506932388483,-0.008086443563649168,-0.16477974389757985,-0.09710939744460934,-0.16942180589819714,0.253486122917248,-0.20889029063646097,-0.07465916185594214,0.08985617121679428,0.043480269014903906,-0.23355112268910794,-0.09880440171848894,0.3576723434521803,-0.1273777655055928,0.06724374712499721,-0.03071526833020662,0.04907076512157824,0.009723751264823763,0.0026044939561525393,-0.19166663832245728,-0.008443087021603402,-0.0605658211315259,-0.010631333939574645,-0.030857702041421235,-0.022461693019019763,0.08735522476149418,-0.13093873962786617,-0.0885196969537481,-0.05232395776460355,-0.30915719717194334,-0.12022141067714137,-0.145555608688297,-0.04452653920590996,-0.2474207902632908,-0.06277885891827838,-0.26804307179755144,-0.1150691493892841,-0.12416070324007936,-0.31282204563133087,-0.5881350997965987,-0.26144138378101534,-0.6058080439086714,-0.2194969175899573,-0.5478596193901512,-0.02809380479703952,0.3875253414612558,0.09661708253610853,0.044504707983444546,-0.03216849701136595,0.45409839579197847,-0.08590290253456415,0.04390209775435454,-0.15532592116200203,-0.07581845106978556
price_earnings,0.021325771477228007,0.38370076166216477,-0.061786914042647904,-0.07611481265894206,-0.21721894293149113,0.7795139473983674,-0.49089310892885696,1.0,0.8349091993075669,0.7831706086498853,0.8756051222189074,0.18460950865599607,0.3551436392889512,0.20352657564966406,0.3673625143310944,0.2826582678505959,0.3108995187953328,0.17282430968587884,0.23028466155406138,0.1491131242979361,0.3238894879000307,0.427170748847353,,-0.21188210774721647,-0.2269541676567363,-0.2791398783398731,-0.26354961193377224,-0.13130375859005994,-0.12187356601013116,-0.10737129811194447,-0.0749593678989689,0.3707206589558282,0.15712925496046357,0.14844583490577232,-0.2415840901204332,0.3611417350015444,0.14911324277178203,0.26922452838280336,0.2875529551250941,0.3885662638468069,0.3892349846395097,0.3371420169837383,0.4641520883980235,0.3561536298604136,0.4138313726241935,-0.16708513487172275,0.3412753394667027,0.2447824784897277,0.11518377021412596,0.30265314776952895,0.42289217928293915,0.3942399728114912,0.022209831231810345,0.41087698144795864,0.04599186670119664,0.19345083489759746,0.06666425006146419,0.1653355126707547,0.09472495202126055,0.24133719085112793,0.07138296440818111,-0.12217045854777885,0.03912632849239879,-0.1484806137306106,-0.015292983713888786,0.15286672337872872,0.3733568455054791,0.4692971126317145,0.34151210313559216,0.5585388882256263,0.3631156170537954,0.4712225841385646,0.13023087529502894,0.20683339213737673,0.07408972524519152,0.22703698138923237,0.13686650803222689,0.10723821156308198,-0.005290118983065185,0.26247103903936025,-0.025415562463551183,0.25774300608366985,0.05598740084193882,0.18033724706925422,0.3402754889365359,0.0769472434682019,0.27963287664193676,0.32245221007898534,0.31129092690654847,0.12044706733402469,0.2497450093803897,0.09068545313351739,0.26505268810708893,0.3397663966196179
price_book,-0.0014439682325427872,0.3888246882785934,-0.14629275716001702,-0.06709523645875241,-0.18934055161603994,0.6730509314076193,-0.4291868302284085,0.8349091993075669,1.0,0.6746202501952142,0.8632428155770132,0.060176693821168026,0.40062225264298756,0.14249940395383356,0.06696128896668223,0.29342223163991943,0.40005057781687936,0.08685705444348815,0.16886970282519906,0.04189459721143217,0.3232671074362401,0.5609255695197104,,-0.18658570194354357,-0.19680093627191594,-0.24313602344322466,-0.23688153268028356,-0.1337989098524837,-0.11335795495363847,-0.09807424836407397,-0.0525869496411325,0.3640269112489155,0.060416274796464726,0.14116301227931827,-0.15109653091317468,0.35357792173981445,0.2208722221963129,0.3080632770689635,0.2335477410718678,0.4229113678558974,0.4562565481081945,0.3854339936233611,0.5287107962223961,0.3568559418989608,0.5053018027902545,-0.055081237074485666,0.39055465470766654,0.15674697174058488,0.17563746428726904,0.33637378369315163,0.4711890334324985,0.35019936922233486,0.10436651083869367,0.34411217255256,0.08771084315170519,0.19941700505910742,0.1309927915573355,0.22805406930038974,0.15159775988568985,0.309752453330649,0.0676737548622196,-0.0954550275332831,0.037369606891129246,-0.12143943535613531,-0.012789631831410592,0.11375219536833643,0.3912900526231008,0.5240380741989507,0.3771182456928378,0.6227482562793145,0.35447631856216877,0.5365201362671952,0.15790328948594323,0.32340975833690067,0.11101239690438726,0.3229048463167034,0.13265724429319245,0.22536939217082302,-0.040305666763152156,0.13462699242881482,-0.05842635540551896,0.12537607267957068,0.028038295329554874,-0.039072106095754816,0.3766412724055541,0.18364525977428228,0.3254546286995443,0.4350568637965883,0.3221146593456411,0.3010854585635475,0.22070601018978472,0.09398249292480619,0.2733124411898172,0.49221378697180396
price_sales,0.0019226494286175655,0.3209443766188167,0.004279094524871824,-0.02270829786116373,-0.1553660448718894,0.5466537173308276,-0.34777108426038694,0.7831706086498853,0.6746202501952142,1.0,0.7617070424141691,0.03648336688892714,0.09616335531193809,0.22486706926132047,0.5861835599076208,0.09311900825841793,0.2894279707159454,0.08210371093307339,0.13074000459543308,-0.008858797678926068,0.09998316769413072,0.349594201835341,,-0.14771725284708562,-0.16222108045355954,-0.2013815116729263,-0.19152149243040772,-0.08724697489614683,-0.08529045329377895,-0.07503454139321088,-0.0514594644988527,0.2874432486282729,0.06974309804305001,0.15401169963911887,-0.17322431213344736,0.27751864150200173,0.11555798588457741,0.28519040616716723,0.2064764173710223,0.32415572662554926,0.36336789164805183,0.312655249422752,0.37913235481000085,0.31466241414318175,0.3015451143018429,-0.05524811024518646,0.24350774384904814,0.11867412355526545,0.15336228698252072,0.34497616824411287,0.28276199606812746,0.34584344078009266,0.05303166195980686,0.30208206792205833,0.08634186427324014,0.332534461105036,0.13767077227933225,0.303168042895755,0.16807926814549354,0.25914892938824075,0.05893589629250698,-0.09956671088830424,0.032210177293134815,-0.11126398827884364,-0.004695369649897479,0.09747877337292354,0.3082828787964403,0.46942278922070096,0.3207129499477796,0.5006942718067705,0.3327385970078397,0.39646307706310485,0.10827964916821929,0.0781129311714523,0.07541367334434548,0.09524033562041745,0.1389674295957576,-0.009611625061569208,0.008227794126174994,0.15079576304889694,-0.01652295698773031,0.14852297206558188,0.0788328042128975,0.13778494025335783,0.2822468065393109,0.16585797991097115,0.2773922342577609,0.32223592473098617,0.29332757845106555,0.14187499334326195,0.23230914499634028,0.08900084852411762,0.27777472015442045,0.3098093048697117
